YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2003,01,09,20,128,9.4,11.5,2.37,14.29,6.60,999,1015.0,13.8,12.4,999.0,99.0,99.00
2003,01,09,21,125,9.2,11.7,2.38,12.50,6.65,999,1014.0,13.5,12.4,999.0,99.0,99.00
2003,01,09,22,129,9.4,11.2,2.29,14.29,6.41,999,1013.1,13.3,12.4,999.0,99.0,99.00
2003,01,09,23,136,10.0,11.9,2.41,14.29,6.14,999,1012.8,13.1,12.4,999.0,99.0,99.00
2003,01,10,00,109,8.6,10.0,2.35,12.50,6.32,999,1012.7,12.9,12.4,999.0,99.0,99.00
2003,01,10,01,88,9.8,12.8,2.52,12.50,6.38,999,1012.8,11.2,12.4,999.0,99.0,99.00
2003,01,10,02,80,11.6,13.9,2.51,12.50,6.34,999,1012.9,10.5,12.5,999.0,99.0,99.00
2003,01,10,03,83,10.4,12.6,2.81,14.29,6.49,999,1012.8,10.7,12.8,999.0,99.0,99.00
2003,01,10,04,88,10.6,12.6,2.90,7.14,6.40,999,1012.6,10.5,12.8,999.0,99.0,99.00
2003,01,10,05,96,8.7,11.1,2.83,7.14,6.48,999,1013.1,11.7,12.8,999.0,99.0,99.00
2003,01,10,06,166,5.6,6.8,2.43,11.11,6.45,999,1013.7,13.3,12.8,999.0,99.0,99.00
2003,01,10,07,158,4.0,4.8,2.40,12.50,6.96,999,1014.0,13.3,12.8,999.0,99.0,99.00
2003,01,10,08,161,4.7,5.8,2.32,12.50,7.00,999,1013.9,13.3,12.8,999.0,99.0,99.00
2003,01,10,09,159,4.2,5.0,2.22,12.50,6.94,999,1013.7,13.2,12.8,999.0,99.0,99.00
2003,01,10,10,146,4.8,5.9,2.35,10.00,6.90,999,1013.7,13.3,12.9,999.0,99.0,99.00
2003,01,10,11,143,5.4,6.3,2.01,12.50,6.77,999,1014.0,13.2,12.9,999.0,99.0,99.00
2003,01,10,12,159,3.7,4.3,2.38,12.50,7.21,999,1014.0,13.1,12.9,999.0,99.0,99.00
2003,01,10,13,163,4.7,5.7,2.38,12.50,7.60,999,1013.9,13.3,12.9,999.0,99.0,99.00
2003,01,10,14,162,5.1,6.1,2.15,12.50,7.49,999,1014.1,13.3,12.9,999.0,99.0,99.00
2003,01,10,15,147,4.5,5.8,1.97,11.11,7.11,999,1014.3,13.3,12.9,999.0,99.0,99.00
2003,01,10,16,172,5.8,6.8,2.20,12.50,7.16,999,1014.5,13.4,12.9,999.0,99.0,99.00
2003,01,10,17,170,6.0,7.8,2.04,9.09,6.95,999,1014.7,13.4,12.9,999.0,99.0,99.00
