YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2012,01,08,11,50,355,3.0,3.9,2.03,12.90,7.78,999,1021.8,11.1,10.7,999.0,99.0,99.00
2012,01,08,12,50,340,3.0,3.9,1.99,12.90,7.57,999,1022.0,11.0,10.7,999.0,99.0,99.00
2012,01,08,13,50,355,1.4,2.3,1.99,13.79,7.46,999,1021.9,10.8,10.7,999.0,99.0,99.00
2012,01,08,14,50,267,1.0,2.1,1.94,11.43,8.01,999,1022.1,10.6,10.7,999.0,99.0,99.00
2012,01,08,15,50,261,2.2,3.1,1.94,11.43,7.53,999,1022.7,10.5,10.7,999.0,99.0,99.00
2012,01,08,16,50,246,0.3,0.7,2.00,12.12,7.94,999,1023.1,11.4,10.7,999.0,99.0,99.00
2012,01,08,17,50,160,0.9,1.6,1.94,12.12,7.86,999,1023.7,11.4,10.7,999.0,99.0,99.00
2012,01,08,18,50,95,1.2,2.0,1.90,12.12,8.20,999,1023.8,11.3,10.9,999.0,99.0,99.00
2012,01,08,19,50,107,2.1,2.9,1.78,11.43,7.99,999,1023.4,11.4,11.0,999.0,99.0,99.00
2012,01,08,20,50,114,0.5,1.5,1.80,11.43,8.23,999,1022.8,12.0,11.1,999.0,99.0,99.00
2012,01,08,21,50,180,0.1,0.4,1.82,12.12,8.25,999,1022.7,12.8,11.4,999.0,99.0,99.00
2012,01,08,22,50,278,1.5,2.1,1.70,11.43,8.03,999,1023.1,12.2,11.5,999.0,99.0,99.00
2012,01,08,23,50,180,0.1,0.6,1.72,11.43,8.28,999,1023.3,13.3,11.7,999.0,99.0,99.00
2012,01,09,00,50,39,1.4,1.9,1.72,11.43,8.75,999,1023.3,11.7,11.5,999.0,99.0,99.00
2012,01,09,01,50,17,1.1,1.6,1.78,17.39,9.15,999,1023.5,11.4,11.4,999.0,99.0,99.00
2012,01,09,02,50,71,0.4,1.1,1.73,17.39,9.65,999,1023.6,11.1,11.2,999.0,99.0,99.00
2012,01,09,03,50,139,1.1,1.8,1.49,17.39,9.10,999,1023.9,10.9,11.1,999.0,99.0,99.00
2012,01,09,04,50,102,0.5,1.2,1.76,11.43,9.79,999,1023.8,10.8,11.0,999.0,99.0,99.00
2012,01,09,05,50,137,0.8,1.4,1.87,17.39,10.09,999,1023.7,10.9,10.9,999.0,99.0,99.00
2012,01,09,06,50,295,1.9,2.5,1.46,11.43,8.92,999,1023.8,10.4,10.9,999.0,99.0,99.00
2012,01,09,07,50,320,1.6,2.1,1.70,17.39,9.64,999,1023.9,9.2,10.8,999.0,99.0,99.00
2012,01,09,08,50,356,1.6,2.0,1.71,10.81,9.50,999,1023.8,8.1,10.7,999.0,99.0,99.00
2012,01,09,09,50,21,0.9,1.5,1.68,17.39,9.70,999,1023.7,8.3,10.7,999.0,99.0,99.00
2012,01,09,10,50,81,2.9,4.0,1.60,12.90,9.29,999,1023.9,9.5,10.6,999.0,99.0,99.00
2012,01,09,11,50,19,2.1,2.5,1.59,11.43,9.44,999,1023.8,9.9,10.6,999.0,99.0,99.00
2012,01,09,12,50,342,2.1,3.0,1.72,17.39,9.48,999,1023.7,9.3,10.6,999.0,99.0,99.00
2012,01,09,13,50,25,1.6,2.0,1.83,11.43,9.65,999,1024.1,9.8,10.6,999.0,99.0,99.00
2012,01,09,14,50,65,2.3,2.9,1.76,16.00,9.53,999,1024.4,10.1,10.6,999.0,99.0,99.00
2012,01,09,15,50,83,3.2,4.0,1.72,16.00,9.79,999,1024.3,9.8,10.6,999.0,99.0,99.00
2012,01,09,16,50,90,3.2,4.4,2.00,16.00,10.32,999,1024.2,10.1,10.6,999.0,99.0,99.00
2012,01,09,17,50,80,4.6,6.1,2.13,19.05,10.34,999,1024.3,10.2,10.6,999.0,99.0,99.00
2012,01,09,18,50,90,5.6,6.9,2.01,19.05,9.33,999,1024.0,10.4,10.6,999.0,99.0,99.00
2012,01,09,19,50,76,3.0,4.2,2.13,19.05,10.11,999,1023.4,11.2,10.7,999.0,99.0,99.00
2012,01,09,20,50,40,1.2,1.8,2.47,19.05,11.76,999,1022.9,11.6,10.9,999.0,99.0,99.00
2012,01,09,21,50,335,2.1,3.3,2.72,17.39,12.13,999,1022.4,11.6,11.2,999.0,99.0,99.00
2012,01,09,22,50,314,4.4,5.5,3.25,16.00,13.14,999,1022.3,10.9,11.1,999.0,99.0,99.00
2012,01,09,23,50,327,4.4,5.6,3.26,16.00,12.26,999,1022.2,10.8,11.1,999.0,99.0,99.00
2012,01,10,00,50,349,2.0,3.3,3.30,16.00,12.15,999,1022.1,10.7,11.0,999.0,99.0,99.00
2012,01,10,01,50,303,1.4,2.3,3.80,16.00,12.95,999,1022.0,10.6,11.0,999.0,99.0,99.00
2012,01,10,02,50,311,2.5,3.8,3.45,16.00,12.45,999,1022.0,10.6,10.8,999.0,99.0,99.00
2012,01,10,03,50,333,3.6,4.9,3.09,16.00,11.68,999,1021.8,10.2,10.7,999.0,99.0,99.00
2012,01,10,04,50,297,1.2,2.2,3.73,17.39,12.68,999,1021.9,9.6,10.7,999.0,99.0,99.00
2012,01,10,05,50,319,2.0,3.2,2.95,17.39,11.92,999,1022.0,10.0,10.6,999.0,99.0,99.00
2012,01,10,06,50,322,2.1,3.1,99.00,99.00,99.00,999,1021.9,10.0,10.6,999.0,99.0,99.00
2012,01,10,07,50,307,4.1,5.8,3.02,16.00,11.92,999,1022.0,10.0,10.5,999.0,99.0,99.00
2012,01,10,08,50,322,3.0,4.5,2.92,16.00,11.64,999,1022.0,8.9,10.5,999.0,99.0,99.00
2012,01,10,09,50,298,4.0,5.2,3.10,16.00,11.79,999,1022.3,9.5,10.5,999.0,99.0,99.00
2012,01,10,10,50,323,5.9,7.7,3.28,14.81,11.48,999,1022.2,8.5,10.6,999.0,99.0,99.00
